ID,Language,Title,Description,Code,Snippet Type,Difficulty
1,Python,Hello World,Prints Hello World,"print(""Hello, World!"")",Simple,Beginner
2,JavaScript,Array Sum,Calculates sum of array,"const sum = arr.reduce((a, b) => a + b, 0);",Simple,Beginner
3,C++,Factorial,Finds factorial of number,int fact(int n){ return n==0?1:n*fact(n-1);},Function,Intermediate
4,Java,Palindrome,Check if string is palindrome,"String str = ""madam""; ...",Method,Intermediate
5,Python,Fibonacci,Generates fibonacci,...def fib(n): ...,Function,Intermediate
6,Ruby,Reverse String,Reverses input string,"puts ""hello"".reverse",Simple,Beginner
7,PHP,Form Validator,Validates form fields,if(isset($_POST['submit'])){...},Function,Advanced
8,C#,File Read,Reads a file content,string content = File.ReadAllText(path);,Method,Intermediate
9,Go,HTTP Server,Simple HTTP server in Go,"http.ListenAndServe("":8080"", nil)",Snippet,Intermediate
10,Swift,Loop Demo,Print numbers 1 to 5,for i in 1...5 { print(i) },Loop,Beginner
11,Python,Regex Email,Check if email valid,"re.match(r""..."", email)",Function,Intermediate
12,Java,Binary Search,Find number in sorted list,int binarySearch(...),Function,Intermediate
13,JavaScript,Debounce Function,Throttle function calls,"function debounce(fn, delay) { ... }",Utility,Advanced
14,Python,Sort Dict,Sort a dictionary by value,"sorted(d.items(), key=lambda x:x[1])",Snippet,Intermediate
15,C++,Class Demo,Define a class,class Car { public: string model; };,Class,Intermediate
16,C#,Login Form,Create a login GUI,... Windows Forms code ...,GUI,Advanced
17,Go,Goroutines,Run functions concurrently,go myFunc(),Concurrency,Advanced
18,PHP,Image Upload,Upload image securely,...move_uploaded_file(...),Function,Advanced
19,Swift,CoreData Init,Initialize CoreData stack,let context = ...,Persistence,Advanced
20,JavaScript,Event Listener,Attach click event,"btn.addEventListener('click', ...)",Event,Beginner
21,Python,List Comprehension,Compact way to create lists,[x*x for x in range(10)],Snippet,Intermediate
22,Java,Multithreading,Create thread using Runnable,class MyThread implements Runnable { ... },Concurrency,Advanced
23,JavaScript,Async Await,Handle async code cleanly,async function fetchData() { ... },Function,Intermediate
24,C++,Vector Sort,Sort vector with custom comparator,"sort(vec.begin(), vec.end(), cmp);",Function,Intermediate
25,Ruby,Block Example,Yield block with method,def my_method; yield; end,Function,Intermediate
26,PHP,Email Sender,Send email using PHP,"mail($to, $subj, $msg, $headers);",Utility,Intermediate
27,Go,Struct Demo,Define and use a struct,type User struct { Name string },Struct,Intermediate
28,C#,Tuple Return,Return multiple values with tuple,"return (name, age);",Function,Intermediate
29,Swift,Optional Binding,Safely unwrap optional values,if let name = name { ... },Control Flow,Intermediate
30,Python,Try Except,Handle exceptions gracefully,try: ... except Exception as e: ...,Error Handling,Beginner
31,Java,Streams API,Filter and map list with streams,list.stream().filter(...).map(...);,Function,Advanced
32,JavaScript,Local Storage,Store data in browser,"localStorage.setItem(""key"", ""value"");",Utility,Intermediate
33,C++,Smart Pointer,Use unique_ptr to manage memory,std::unique_ptr<int> ptr(new int);,Memory,Advanced
34,Ruby,Hashes,Define and iterate hash,"map = {a: 1, b: 2}; map.each {...}",Collection,Beginner
35,PHP,Sessions,Start and use session,"session_start(); $_SESSION['user'] = ""X"";",State,Beginner
36,Go,Slice Append,Add elements to slice,"users = append(users, ""Tom"")",Data,Intermediate
37,C#,LINQ Query,Use LINQ to query collection,var result = from x in list where x > 0 select x;,Query,Advanced
38,Swift,Enum Cases,Define and switch on enums,"enum Role { case Admin, User }",Control Flow,Intermediate
39,Python,Zip Function,Combine multiple lists together,"for a, b in zip(l1, l2): ...",Snippet,Intermediate
40,Java,Serialization,Serialize an object,ObjectOutputStream.writeObject(obj);,IO,Advanced
41,JavaScript,Set Object,Use Set to avoid duplicates,const ids = new Set([...]);,Collection,Intermediate
42,C++,Lambda Function,Create inline function,"auto add = [](int x, int y){ return x+y; };",Function,Advanced
43,Ruby,Regex Match,Check if string matches regex,abc =~ /a.c/,Function,Intermediate
44,PHP,File Upload Securely,Handle user-uploaded files,move_uploaded_file(...);,Security,Advanced
45,Go,Channel Sync,Communicate with goroutines using channel,ch := make(chan int); Concurrency,Advanced,
46,C#,Exception Throw,Custom exception handling,"throw new ArgumentException(""..."");",Error Handling,Intermediate
